manufacturer,oem,prefix,name,suffix,vram,gddr,price,link
NVIDIA,索泰,RTX,4060,Ti,8,,13990,https://24h.pchome.com.tw/prod/DRADLX-A900GCRVN
NVIDIA,技嘉,RTX,4060,,,6,10590,https://24h.pchome.com.tw/prod/DRADL2-A900GFWPV
NVIDIA,技嘉,RTX,4060,Ti,8,6,16090,https://24h.pchome.com.tw/prod/DRADL2-A900GCS95
NVIDIA,華碩,RTX,4060,,8,6,10490,https://24h.pchome.com.tw/prod/DRADKY-A900GRZP7
NVIDIA,微星,RTX,4060,Ti,8,6,12990,https://24h.pchome.com.tw/prod/DRADLA-A900GCVF3
NVIDIA,映眾,RTX,3050,,8,6,6888,https://24h.pchome.com.tw/prod/DRADGJ-A900GXS70
NVIDIA,索泰,RTX,3060,Ti,,,11690,https://24h.pchome.com.tw/prod/DRADD7-A900EPB8H
NVIDIA,索泰,RTX,4060,Ti,8,6,10490,https://24h.pchome.com.tw/prod/DRADLX-A900GLAC2
NVIDIA,技嘉,RTX,4060,Ti,8,6,14090,https://24h.pchome.com.tw/prod/DRADL2-A900GCSB4
AMD,,RX,6500,XT,4,,6400,https://24h.pchome.com.tw/prod/DRADIB-A900FAN7V
NVIDIA,微星,RTX,4070,Super,12,6,23500,https://24h.pchome.com.tw/prod/DRADLA-A900H364P
NVIDIA,技嘉,RTX,4070,Super,12,6,23090,https://24h.pchome.com.tw/prod/DRADL2-A900H384M
NVIDIA,微星,RTX,3050,,8,6,7199,https://24h.pchome.com.tw/prod/DRADLA-A900GZS0O
NVIDIA,技嘉,RTX,4070,Super,12,6,24090,https://24h.pchome.com.tw/prod/DRADL2-A900H384Q
NVIDIA,技嘉,RTX,4070,Super,12,6,23090,https://24h.pchome.com.tw/prod/DRADL2-A900H35G7
NVIDIA,技嘉,RTX,4060,,8,6,11548,https://24h.pchome.com.tw/prod/DRADL2-A900GGEBL
NVIDIA,華碩,RTX,4060,,8,6,10990,https://24h.pchome.com.tw/prod/DRADKY-A900GOK42
NVIDIA,微星,RTX,4060,Ti,8,6,13990,https://24h.pchome.com.tw/prod/DRADLA-A900GCVKA
NVIDIA,技嘉,RTX,4070,Super,12,6,24090,https://24h.pchome.com.tw/prod/DRADL2-A900H35GY
NVIDIA,技嘉,RTX,4070,Super,12,6,21990,https://24h.pchome.com.tw/prod/DRADL2-A900H35HG
NVIDIA,技嘉,RTX,4060,,,6,12090,https://24h.pchome.com.tw/prod/DRADL2-A900GFWNH
NVIDIA,微星,RTX,4070,,12,6,20490,https://24h.pchome.com.tw/prod/DRADLA-A900GKW29
NVIDIA,技嘉,RTX,4060,Ti,8,6,15590,https://24h.pchome.com.tw/prod/DRADL2-A900GG4LV
NVIDIA,微星,RTX,4070,Super,12,6,21990,https://24h.pchome.com.tw/prod/DRADLA-A900H31T7
NVIDIA,微星,RTX,3060,,12,6,9690,https://24h.pchome.com.tw/prod/DRAD1R-A900F7Q78
NVIDIA,技嘉,RTX,4070,,12,6,20090,https://24h.pchome.com.tw/prod/DRADL2-A900H34HT
NVIDIA,技嘉,RTX,3060,,12,6,9990,https://24h.pchome.com.tw/prod/DRADL2-A900GS095
NVIDIA,微星,RTX,4060,,8,6,10490,https://24h.pchome.com.tw/prod/DRADLA-A900GSU1E
NVIDIA,微星,RTX,4060,Ti,8,6,15990,https://24h.pchome.com.tw/prod/DRADLA-A900GCVMB
NVIDIA,華碩,RTX,4070,,12,,20990,https://24h.pchome.com.tw/prod/DRADKY-1900H387C
NVIDIA,華碩,RTX,4060,,8,6,9990,https://24h.pchome.com.tw/prod/DRADKY-1900H388B
NVIDIA,微星,RTX,3060,,12,6,8990,https://24h.pchome.com.tw/prod/DRADLA-A900GSU30
NVIDIA,索泰,RTX,4060,,8,6,9990,https://24h.pchome.com.tw/prod/DRADLX-A900GG530
NVIDIA,華碩,RTX,4070,,12,6,21490,https://24h.pchome.com.tw/prod/DRADKY-A900GSTY0
NVIDIA,華碩,RTX,4070,,12,6,24990,https://24h.pchome.com.tw/prod/DRADKY-A900GPM8W
NVIDIA,索泰,RTX,3060,Ti,,,11990,https://24h.pchome.com.tw/prod/DRADD7-A900GGJOP
